id_carrera,nombre_carrera,id_habilidad,nombre_habilidad
CAR_6e80dd213abf5387,Administración,COMP_TEC_0009,Analizar datos para informar decisiones o actividades operativas.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0017,Analizar registros financieros para mejorar la eficiencia.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0044,Contratar personal.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0061,Desarrollar objetivos organizacionales.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0063,Desarrollar planes o estrategias de marketing.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0064,Desarrollar políticas o programas organizacionales.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0074,Determinar precios o monetario políticas.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0075,Determinar recurso necesidades.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0077,Dirigir actividades de ventas marketing o servicio al cliente.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0081,Dirigir operaciones financieras.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0082,"Dirigir operaciones, proyectos o servicios organizacionales."
CAR_6e80dd213abf5387,Administración,COMP_TEC_0117,Gestionar actividades de construcción.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0119,Gestionar proyectos de sostenibilidad ambiental.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0123,Implementar cambios en procesos o políticas organizacionales.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0148,Planificar distribuciones o diseños de instalaciones.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0151,Preparar cronogramas del personal o asignaciones de trabajo.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0173,Proporcionar información básica para huéspedes visitantes o clientes.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0186,Realizar programas de capacitación para empleados.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0187,Recomendar organizacional cambios de procesos o políticas.
CAR_6e80dd213abf5387,Administración,COMP_TEC_0210,Supervisar el desempeño de miembros o socios de la organización.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0005,Analizar costos y beneficios de propuestos diseños o proyectos.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0011,Analizar diseños o planes con clientes.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0052,Crear representaciones gráficas de estructuras o landscapes.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0080,Dirigir diseñar o desarrollo actividades.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0083,Diseñar agua conservación sistemas.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0087,Diseñar estructuras o instalaciones.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0092,Documento detalles del diseño técnico.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0125,Incorporar elementos sostenibles en el diseño de estructuras o instalaciones.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0128,Inspeccionar instalaciones o sitios para verificar el cumplimiento de especificaciones o estándares.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0132,Investigar el impacto ambiental de proyectos.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0150,Preparar contratos disclosures o aplicaciones.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0152,Preparar detallado trabajo planes.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0154,Preparar documentos de procedimiento.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0167,Probar characteristics de materiales o estructuras.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0185,Realizar marketing actividades.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0217,Supervisar personal de ingeniería u otras áreas técnicas.
CAR_111a0990206bc8b3,Arquitectura,COMP_TEC_0220,Verificar alignment de estructuras o equipos.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0032,Capacitar otros.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0035,Colaborar con otros en marketing actividades.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0037,Comunicar con gestión o otro personal para resolver problems.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0047,Coordinar logística para productions o events.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0057,Desarrollar estrategias o planes promocionales.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0067,Desarrollar relaciones comerciales.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0068,Desarrollar relaciones de colaboración entre departamentos u organizaciones externas.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0095,Editar written materiales.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0126,Informar espectadores oyentes o audiencias.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0137,Mantener contingency planes para disaster recovery.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0171,Promover productos actividades u organizaciones.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0174,Proporcionar información educativa al público.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0183,Realizar investigación de mercados.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0197,Redactar material informativo.
CAR_4d6a43f8b2199298,Comunicación,COMP_TEC_0198,Redactar material publicitario o promocional.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0007,Analizar datos empresariales o financieros.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0012,Analizar empresarial estrategias prácticas o políticas con gerentes.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0014,Analizar información financiera.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0016,Analizar presupuestario o contable datos.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0023,Asesorar otros sobre asuntos empresariales u operativos.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0024,Asesorar otros sobre asuntos financieros.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0026,Asesorar otros sobre temas de recursos humanos.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0029,Calcular información tributaria.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0045,Coordinar documentación regulatoria actividades.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0070,Desarrollar sistemas de información empresarial o financiera.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0108,Evaluar eficacia de personal políticas o prácticas.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0111,Evaluar situación financiera de clientes.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0113,Examinar registros financieros o procesos.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0114,Examinar registros financieros.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0127,Informar información para gerentes o otro personal.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0133,Investigar legal problemas.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0142,Negociar acuerdos financieros.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0146,Pagar cargos fees o impuestos.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0155,Preparar documentos financieros informes o budgets.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0156,Preparar documentos financieros.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0162,Preparar operativo budgets.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0175,Proporcionar legal advice para clientes.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0180,Realizar auditorías financieras o regulatorias.
CAR_99a34caf515305d2,Contabilidad y Finanzas,COMP_TEC_0190,Recopilar evidencia para procesos legales.
